"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/09/23","APPLE COM BILL","-400","三井住友カード (VpassID)","通信費","その他通信費","","0","_GPyoVsQcUnRvfdwOLGEvnFyw_hlurP-GgRT4lRIhkw"
"1","2024/09/21","セブン (セブンBK)","-34000","横浜銀行","現金・カード","ATM引き出し","","0","jPKUiRu-I0oSchGX1R4fRV-TiehEdAfxYo00f1x8AlI"
"1","2024/09/19","ハマペイ","-5000","横浜銀行","未分類","未分類","","0","Tkp6BHOqwIPjLtEcBx74tHJTfU32Nl2PnhAQyqi9qIg"
"1","2024/09/17","ENEOS-SS","-1412","三井住友カード (VpassID)","自動車","ガソリン","","0","WUuuvr8L7uX0-XZWb74-dxDkDb0zd66azdJzUciYF3s"
"1","2024/09/17","ACサ-ビスセンタ-","37000","横浜銀行","未分類","未分類","","0","izcL9zvdV9yJY_xe23WWIKE4CRtZmfmf3Oz91Ktxg5A"
"1","2024/09/16","AOセプトクリアケア 360ml×3本パック (コンタクトケア用品) 販売: コンタクトクリーン館","-2698","Amazon.co.jp","健康・医療","ボディケア","","0","HbItGZcM_w2iyC9jIuuf1IWsqPByYbXJPm01DgAeTXs"
"1","2024/09/16","イープラス","-6880","三井住友カード (VpassID)","趣味・娯楽","映画・音楽・ゲーム","","0","6hxAwzxnLMcx6h6X-feNyDLhi-2D2Rbf-FId4Sj2QVs"
"0","2024/09/16","AMAZON.CO.JP","-2698","三井住友カード (VpassID)","教養・教育","書籍","","1","jQjdG7UxwPLtBEBaO-DSeXdtlzVDOQxpQEqoTvv39js"
"1","2024/09/15","ソフトバンクM(08月分)","-14165","三井住友カード (VpassID)","通信費","携帯電話","","0","mAzEvi7rAOWtb33mmKFL_Lin-ov0nQFXJc_StgK4Y1U"
"1","2024/09/15","ハマペイ","-5000","横浜銀行","未分類","未分類","","0","naByRlEQVVJoGhXjQTZLmnD-TJ12YNWYXza7t6SeHGg"
"1","2024/09/14","ニッポンレンタカーサービス","-15950","三井住友カード (VpassID)","自動車","車両","","0","qkFW7tg7P1O659OAG0QTCYcAQTPr0rfuyBfGF8tUdiQ"
"1","2024/09/14","ENEOS-SS","-2343","三井住友カード (VpassID)","自動車","ガソリン","","0","s6uFnAW6mHUUuNoa6NLHua1xHPC5qMlTfCultfXgZhM"
"1","2024/09/14","ENEOS-SS","-992","三井住友カード (VpassID)","自動車","ガソリン","","0","IHFeHRd5KvCrBaSsIvpgNi8i78mUwVyqBtTa1ed7RGE"
"1","2024/09/13","インタ-ネツト PE DFACネツトフリコミ","-21516","横浜銀行","通信費","インターネット","","0","_DF9q_j7tqIfC_vBh7xb9DbYSJtVM_MUoHEkEWN1pG0"
"1","2024/09/13","ハマペイ","-5000","横浜銀行","未分類","未分類","","0","Lq_nrQCnFa3gxqpXU4lkyQkRt8kuFj9e8UKUyawkAL0"
"1","2024/09/13","キユウリヨウ カ)ワイズテ-ブルコ-ポレ-シヨン","31458","横浜銀行","収入","給与","","0","XrSqQtNCA1d6Aa5lEm6nkKmEE8_XcPQnwSK13fBxny8"
"1","2024/09/12","東京都水道局","-3245","三井住友カード (VpassID)","水道・光熱費","水道代","","0","VGOd7RY343VEazDDWg9eQnDujh1Z5ZmEMn7KWekliLw"
"1","2024/09/11","アクサダイレクト 自動車保険 月次","-2610","三井住友カード (VpassID)","保険","生命保険","","0","9kgxznU7KdxhzXlnXZ3Qh6-JjbO6pR5vCZ1hEgEHpq8"
"1","2024/09/10","割引","174","Amazon.co.jp","未分類","未分類","","0","6OP3CRKx-qJVQxbhO9M-V-hujsTbA_FvtUZwSLgJS1c"
"1","2024/09/10","Lightee(ライティー) [医薬部外品] ホワイトニング ハミガキ PREMIUM ペースト 歯磨き粉 シトラスティー 100g+リーフレット付き 販売: Amazon.co.jp","-1742","Amazon.co.jp","未分類","未分類","","0","ClblgFbNjbvc0kMPwzPTEKvl9ZQf_BqlhWPVjxT7tHE"
"0","2024/09/10","AMAZON.CO.JP","-1568","三井住友カード (VpassID)","教養・教育","書籍","","1","uolf2g8gk11avjBW0oDNywu7Fp8QegFtnBgfmV6NN8M"
"1","2024/09/09","割引","356","Amazon.co.jp","未分類","未分類","","0","nNDzlbq2aeMIW6voKof_PgqJLkALZRi-kqTSlDpJm-k"
"1","2024/09/09","ザバス(SAVAS) ソイプロテイン100 ココア味 2000g 明治 販売: Amazon.co.jp","-7110","Amazon.co.jp","未分類","未分類","","0","sFmRxGktHfQOX36Pg4oF9YnTKWPnNwBP-SafUXOU4eI"
"0","2024/09/09","AMAZON.CO.JP","-6754","ポケットカード","教養・教育","書籍","","1","1ftP9qZTQpUYm880xErRLclZnOZjpDYmN8YlTEXIuG0"
"1","2024/09/08","【2024革新型・高速USB3.0対応】 CD DVDドライブ 外付け 静音 DVDプレーヤー 外付けDVDドライブ USB3.0&Type-C両接続 読取/書込可 CDプレーヤー バスパワー駆動 外付けCDドライブ 軽量 薄型 光学ドライブ 外付け CDドライブ Mac PC パソコン Windows11対応 Windows10/8/7XP 外付け CD DVD ドライブ 販売: Iposs","-1999","Amazon.co.jp","趣味・娯楽","映画・音楽・ゲーム","","0","Cl0uqcI6pD3djU3VUcw6bAjnzMILTiliYXEQm9yY-Wg"
"1","2024/09/08","ETC 関東支社 (自保土ヶ谷 至玉川 軽・二)","-310","三井住友カード (VpassID)","自動車","道路料金","","0","zkDoRZ90cbn2xa6c1m-V23ydzYw-nYYhmg9o33jS9SQ"
"1","2024/09/08","ETC 関東支社 (自新保土ヶ谷 至新保土ヶ谷 軽・二)","-260","三井住友カード (VpassID)","自動車","道路料金","","0","R32EMvn8Vfiw7RoF_PpPIZVvQQSBg9ddamsMnwbUXSA"
"1","2024/09/08","ETC 関東支社 (自逗子 至狩場 軽・二)","-600","三井住友カード (VpassID)","自動車","道路料金","","0","bJR9WNV4mXEqDyyu2gqjCKEDQ3ohLpr3kwYTrXNYmsA"
"0","2024/09/08","AMAZON.CO.JP","-1999","三井住友カード (VpassID)","教養・教育","書籍","","1","wMmKPnbq-97gcLLk0WWvk4KEU7G-5zVgt17ZnjEBPzM"
"1","2024/09/07","Amazonポイント","688","Amazon.co.jp","未分類","未分類","","0","50OIl-eI00woDDDNABwxWt36_RLcDBB92rX7-F82iQg"
"1","2024/09/07","NONIO(ノニオ) プラス ホワイトニング [医薬部外品] デンタルリンス 液体歯磨き 口臭原因菌を殺菌(アルコール配合) 1,000ml+ミニリンス80ml付き 販売: Amazon.co.jp","-880","Amazon.co.jp","健康・医療","医療費","","0","wEemXwcymIDBCRIFcOQs3QiwNbsM-AYmnndKg8JiyAA"
"1","2024/09/07","マインドフルネス認知療法ワークブック: うつと感情的苦痛から自由になる8週間プログラム 販売: 猫象書店 ◆在庫確実!!◆年中無休で、超!迅速発送!!◆買います!ご不要の雑誌/本/洋書等を着払で!","-3180","Amazon.co.jp","教養・教育","書籍","","0","LQERkXlAHpiR6zUPX2EURybM1pegzuAsi5OrIsf_Qr4"
"1","2024/09/07","ETC 関東支社 (自狩場 至横須賀 軽・二)","-630","三井住友カード (VpassID)","自動車","道路料金","","0","sF5qxeNJca6rhxFGmtQDRR4etbaGEGw7lw5TSWDHYQc"
"0","2024/09/07","AMAZON.CO.JP","-880","三井住友カード (VpassID)","教養・教育","書籍","","1","2efDqE2_uZ1ZJGqKII12avWAPw-hvDygPR5dYETK4Dw"
"0","2024/09/07","AMAZON.CO.JP","-2492","三井住友カード (VpassID)","教養・教育","書籍","","1","Fo83e4KJwvqEOl2HWG1x9eR3HFIkcOA6WXmLz4ckAlY"
"1","2024/09/07","コウザフリカエ ペイペイ チヤ-ジ","-2000","横浜銀行","現金・カード","電子マネー","","0","A_ETkuvfVYcLFLBSQKcMUf5l6l0h8VbkVMmjgfcyLws"
"1","2024/09/07","コウザフリカエ ペイペイ チヤ-ジ","-1000","横浜銀行","現金・カード","電子マネー","","0","AgFK7EvxYGzUrMz14kTTp1uknWh7_M-SSyUGol7XpfU"
"1","2024/09/05","APPLE COM BILL","-400","三井住友カード (VpassID)","通信費","その他通信費","","0","GqhPc2WBgg6p2sYibuNqUOpuhuKG72OGHzP7mUyAUWc"
"1","2024/09/04","ハマペイ","-5000","横浜銀行","未分類","未分類","","0","IGO5hCTxT5NUitxonIE0-syChXeuXOc0CClyLYdR4Pg"
"1","2024/09/04","テスウリヨウ","-330","横浜銀行","その他","雑費","","0","_Vm7VLQgJXLtdWrAYEXdj6Lln0EULTmho2Un2kX1GOs"
"1","2024/09/04","インタ-ネツト カ)クレデンス","-77330","横浜銀行","通信費","インターネット","","0","D9VZJxlTiLVgIK_H3DlnZnZdzSa1PiYu-Z4VM7wvwm0"
"1","2024/09/04","カ)バイクパ-ク","9094","横浜銀行","未分類","未分類","","0","KCrYaC7Uh0y49_ZcnjuyEB8yN1Mj8a1si4ycXbFouKA"
"1","2024/09/04","コウザフリカエ ペイペイ チヤ-ジ","-2500","横浜銀行","現金・カード","電子マネー","","0","0THGYi5NLOkQSzVxJlbpkiar7V2LzEUmiHyt0tcJMQ0"
"1","2024/09/02","ハマペイ","-5000","横浜銀行","未分類","未分類","","0","7YR5cPAB2s_kmfNectWUSIrAGSb21-hZ8dT227Slblg"
"1","2024/09/02","ACサ-ビスセンタ-","50000","横浜銀行","未分類","未分類","","0","in1Jmppr2tiva_jIFkkUtRSw4HmVex61Oy3aTvCiCK8"
"0","2024/09/02","コウザフリカエ ポケツトカ-ド","-11932","横浜銀行","現金・カード","カード引き落とし","","1","dBQqzJYETayyoh8y_AlJS-HZqaZYRCcRFjlQ5cjCGLk"
"1","2024/09/01","プロント","-8547","ポケットカード","食費","カフェ","","0","POb8B84ArTPcihnCL2J5O1fkCgVBT3dm5ww8rLY94UE"
"1","2024/09/01","弁護士ドットコム","-330","ポケットカード","未分類","未分類","","0","MNQM2C95q-yoArFZfwPwUFeUg1V_ws4QywcuKBrfadg"
"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/10/31","自遊空間 恵比寿店","-3270","三井住友カード (VpassID)","趣味・娯楽","その他趣味・娯楽","","0","Wax48f9wY8zWL28wY3kKFsJU4AZEpMCd7E8pC59ePMQ"
"1","2024/10/31","自遊空間 恵比寿店","-2080","三井住友カード (VpassID)","趣味・娯楽","その他趣味・娯楽","","0","HdRq6w2CjrHnbE72zOj2Jz0y6m0MshPKyw5YEHu-U-0"
"1","2024/10/31","コウザフリカエ ペイペイ チヤ-ジ","-1000","横浜銀行","現金・カード","電子マネー","","0","okRu5KQopLMp-vw6uT-6o3AVLfUs4eUZSo7Ss5ewASI"
"1","2024/10/31","コウザフリカエ ペイペイ チヤ-ジ","-3000","横浜銀行","現金・カード","電子マネー","","0","qR9vMs8S5kqsBxeUARIESB41QZSd3JpsH2Og9oI-CqM"
"1","2024/10/30","APPLE COM BILL","-1200","三井住友カード (VpassID)","通信費","その他通信費","","0","ex40G62xudMpJSuLxRxdi5FBPsbQZIybUAej2j7P5q8"
"1","2024/10/30","モバイルPASMOチャージ","-2000","三井住友カード (VpassID)","現金・カード","電子マネー","","0","y14vPl5So_fxHP-xSYpME6_7896ofd_yNg6CmB9rCqo"
"1","2024/10/30","コウザフリカエ ペイペイ チヤ-ジ","-5000","横浜銀行","現金・カード","電子マネー","","0","NqEmTNQDNSUfcJCkVo7-ujUMkhtJdKwExp5otjm8gU4"
"1","2024/10/30","ハマペイ","-3000","横浜銀行","未分類","未分類","","0","omLxbruu1XXp4-BfaRIVaoUmQHUHAlosh-4da4Ua8EU"
"1","2024/10/29","Anker PowerLine+ II ライトニングケーブル MFi認証 高耐久 iPhone 12 / 12 Pro / 11 / SE(第2世代) / XR iPad 各種対応 (0.3m ブラック) 販売: AnkerDirect","-1790","Amazon.co.jp","未分類","未分類","","0","CQB6ybaRVkTWWHQuAjXnQAiBlx0rWNUijl6p5ebj0_s"
"0","2024/10/29","AMAZON.CO.JP","-1790","ポケットカード","教養・教育","書籍","","1","_WR1nfbj3Pl4KQJ1TOEapOiZch__SDRlacJjiI87xA0"
"1","2024/10/28","モバイルPASMOチャージ","-2000","三井住友カード (VpassID)","現金・カード","電子マネー","","0","h9JtRsD_4f9slnRXWOBvjNFi5tcle44SnuUQiLFNE0w"
"1","2024/10/28","ハマペイ","-3000","横浜銀行","未分類","未分類","","0","7v8aUnB8AmUEZAYgBv7YiYVjEfbUa-IrFdF8d_TPfyI"
"0","2024/10/28","クレジツト ミツイスミトモカ-ド (カ","-70968","横浜銀行","現金・カード","カード引き落とし","","1","eA1EP537aapadkidD-232CltGNPaUkwBnUp_X-G7JKo"
"1","2024/10/28","クレジツト ミツイスミトモカ-ド (カ","-10628","横浜銀行","現金・カード","カード引き落とし","","0","D97HO-ApwqV5evVA2PT_-yDGAYUG7Iz6O8LVerw8DfE"
"1","2024/10/28","コウザフリカエ オリコ","-3400","横浜銀行","現金・カード","カード引き落とし","","0","lxZOkH4kurAQSnE_J0jLVuNNwJKXZWEOZwao0Sq6L8s"
"1","2024/10/28","コウザフリカエ ニホンガクセイシエンキ","-6599","横浜銀行","教養・教育","学費","","0","sKiz5f16IiZLUemyNSrFHHUYEG50yyinuT93bT_ssXk"
"1","2024/10/28","ゴヘンサイ","-12809","横浜銀行","住宅","ローン返済","","0","jl609IMH9gxZHoNfKCovY1nZcVo1Gy5Gfo-xTZhnCFo"
"1","2024/10/28","テスウリヨウ","-165","横浜銀行","その他","雑費","","0","UWqPJxH0fPLtH-xij4rAecawlWzY2tFtcOhDA2CqMD4"
"1","2024/10/28","インタ-ネツト クドウ リク","-10000","横浜銀行","通信費","インターネット","","0","oQgisyzxLNu-a5v9PWHtl08Qvh9kMlgAM6jwC0_hUKk"
"1","2024/10/27","コウザフリカエ ペイペイ チヤ-ジ","-2000","横浜銀行","現金・カード","電子マネー","","0","FjhfS9N1Sg_oieCpF_Vvu1MSHeyYxRar2ieBo9VrzH0"
"1","2024/10/26","ジドウキ (イ-ネツト)","-6821","横浜銀行","現金・カード","ATM引き出し","","0","RAh6JtrUm_ri2qVS5A_LZDLLMvQc08Et7MwkVz6hU8g"
"1","2024/10/26","コウザフリカエ ペイペイ チヤ-ジ","-1617","横浜銀行","現金・カード","電子マネー","","0","6V-6ang4s020toHWD0OZwddgPRVnPGNtdF355MLfcts"
"1","2024/10/26","コウザフリカエ ペイペイ チヤ-ジ","-1847","横浜銀行","現金・カード","電子マネー","","0","XArYo9Fp-MK5122UfrfXxJqzvwpxZ9Scu-YyH93YD6w"
"1","2024/10/26","コウザフリカエ ペイペイ チヤ-ジ","-3485","横浜銀行","現金・カード","電子マネー","","0","eX2MvP0NelyGs_g5IQEXClElyS5Y7avpEXjG5NHEtE8"
"1","2024/10/26","コウザフリカエ ペイペイ チヤ-ジ","-13417","横浜銀行","現金・カード","電子マネー","","0","ViBmZPS0RzHOBSi8_hHKfRNlNLFQ9QX64RdW-X6-vpE"
"1","2024/10/25","KURE(呉工業) スーパーシリコンスプレー 420ml プレミアム滑走・離型剤 1072 販売: Amazon.co.jp","-749","Amazon.co.jp","食費","食料品","","0","9jedhzKrJ8GKwKNo-c9VVXIyvowa72-x7nnP8y4ALhA"
"0","2024/10/25","AMAZON.CO.JP","-749","ポケットカード","教養・教育","書籍","","1","69riLMo8dnSKVZR5vai9lvugT8OsDZoDJ-x8jIOWsns"
"1","2024/10/25","コスモ石油","-1469","ポケットカード","自動車","ガソリン","","0","v0NiJKYPONnmBp8Zajkba9UxJSmMg9L0S4C3NZ2vkHI"
"1","2024/10/25","ETC 関東支社 (自新保土ヶ谷 至新保土ヶ谷 軽・二)","-260","三井住友カード (VpassID)","自動車","道路料金","","0","4ySAMEEiZZMkyRhhUdxE74I_BlQVEi82vojn9PUyl4U"
"1","2024/10/25","ETC 関東支社 (自保土ヶ谷 至玉川 軽・二)","-310","三井住友カード (VpassID)","自動車","道路料金","","0","QjAq1nW0YejGk0DPnpaxyiSemSaiujVlAbYndb7Pw3A"
"1","2024/10/25","ETC 関東支社 (自逗子 至狩場 軽・二)","-600","三井住友カード (VpassID)","自動車","道路料金","","0","xVs9i5m-HexHhU3xcDr4NJGVlML2x8rEnz-Z7Xyv2Hs"
"1","2024/10/25","ハマペイ","-3000","横浜銀行","未分類","未分類","","0","Mk6dbUzzSdGkojZu3exQSKDRYtkUES2nV9WvZdA3Vyg"
"1","2024/10/25","コウザフリカエ ペイペイ チヤ-ジ","-1014","横浜銀行","現金・カード","電子マネー","","0","0KE1ST6xs5UlfHK4MUC0leUxsmCRjMaF-Gk8-w2qGB8"
"1","2024/10/25","ハマペイ","-3000","横浜銀行","未分類","未分類","","0","WxAoGtWyIArJEqE9Q01lSWB0AzkoqenPQbmMBYQGSWs"
"1","2024/10/25","カブシキガイシヤライフネクスト","251560","横浜銀行","未分類","未分類","","0","IYmRVQ2z_b-ms4gaDsO_xuceBnflaB3U6pIOiv_i4Vc"
"1","2024/10/24","D.I.D(大同工業)バイク用チェーン用品 チェーンルーブ 420g 二輪 オートバイ用 販売: Amazon.co.jp","-1480","Amazon.co.jp","未分類","未分類","","0","p7zHVmSD-KcbQBdh85PI-Q3eOWA6X6mNZJz2x2VqLvI"
"1","2024/10/24","サルタヒココーヒーシモキタザワテン","-550","ポケットカード","食費","カフェ","","0","-y5mPbUESU5lv07BU4Vh1vq_BNoqfJTQCngKV63JMxs"
"0","2024/10/24","AMAZON.CO.JP","-1480","ポケットカード","教養・教育","書籍","","1","d7g57tWP7Z37jfgoiTqLsUMgknsUVzFBk-pGXEmidFA"
"1","2024/10/24","すき家","-430","ポケットカード","食費","食費","","0","RsEkjgRfQr3n3yfxJ_lvBZKb1oHU_XHcX1nmN2qQhRo"
"1","2024/10/23","SQ*HUBHUB下北沢","-500","ポケットカード","交際費","飲み会","","0","8Y0T4a8q9ZvwWzL0DsKIuW8GNBrFkkeNlawT6YlzAiA"
"1","2024/10/23","SQ*HUBHUB下北沢","-5900","ポケットカード","交際費","飲み会","","0","Ec81BA4ULaPXPd4j4OnnQnQ1nSlPPeUrtQOC75sUQxA"
"1","2024/10/23","APPLE COM BILL","-400","ポケットカード","通信費","その他通信費","","0","8hLnQhk77vw-Vf0CxTrAUw-yg1S_vV99rwkAEYAKDVU"
"1","2024/10/23","オオタケ マサカズ","38150","横浜銀行","未分類","未分類","","0","y3s70RcgkyUTUG4ztvWWWzHH90EBK9EBFRbVwfLgC7Q"
"0","2024/10/22","AMAZON.CO.JP","-6754","ポケットカード","教養・教育","書籍","","1","kr-3mBDUlJGXl6UdvhF3CpfVMYUOoR3XnCuYVpIkxmo"
"1","2024/10/22","ETC 関東支社 (自保土ヶ谷 至玉川 軽・二)","-310","三井住友カード (VpassID)","自動車","道路料金","","0","R4fKP_JoU_K4LqpVvXb672iyc4UzrpVUEjngnHyZVAE"
"1","2024/10/22","ETC 関東支社 (自新保土ヶ谷 至新保土ヶ谷 軽・二)","-260","三井住友カード (VpassID)","自動車","道路料金","","0","besaglP-2SWcWJ7i2rifjSDCPLkh-tIjp10FsX1-ipY"
"1","2024/10/21","割引","356","Amazon.co.jp","未分類","未分類","","0","MHSfwpGXQUp-WHwPYAp5C9dDABdtaSe7gzepMMNZmro"
"1","2024/10/21","ザバス(SAVAS) ソイプロテイン100 ココア味 2000g 明治 販売: Amazon.co.jp","-7110","Amazon.co.jp","未分類","未分類","","0","u6O3qc9I6GcLpmcKV-8Ly6nXI7kaPoqhXN8f0KUiuUA"
"1","2024/10/21","STUDIO BAYD","-1320","ポケットカード","未分類","未分類","","0","UM3Wk4n6IQ_lIGmjRfgojTohqMmHZsvRnRGt3xqIcKk"
"1","2024/10/20","スターバックス/LINE EC","-1000","ポケットカード","食費","カフェ","","0","uYpkU7P6kvNoO4d4eUcQoAwncyi3amvAjU9kLhBfJm4"
"1","2024/10/20","ラクテンペイ リリカ","-4620","ポケットカード","未分類","未分類","","0","jcfOiXr4dXnWirx0VSoQ_GjDuTmPS2GipWl92oGMzH8"
"1","2024/10/17","コウザフリカエ ペイペイ チヤ-ジ","-1000","横浜銀行","現金・カード","電子マネー","","0","cdUNScn_a9-CH1I7VJNvAhS4f_VCACNrwygmo323Eok"
"1","2024/10/16","アポロステーシヨン","-1470","ポケットカード","未分類","未分類","","0","Ev3qjvThyc6-tUF_TjX4jzQbhYBd8gqqBq7_06kKNo0"
"1","2024/10/15","コスモ石油","-1000","ポケットカード","自動車","ガソリン","","0","lXAlN1BDrc-CnzU83GusxgjD-5Ixt_Bik8tGJSJumKo"
"1","2024/10/13","コウザフリカエ ペイペイ チヤ-ジ","-5000","横浜銀行","現金・カード","電子マネー","","0","8q0OJeffBRv7nP-PYWq04Vw5WelJQrvfwJh6pXue3qQ"
"1","2024/10/11","AOセプトクリアケア 360ml×3本パック (コンタクトケア用品) 販売: コンタクトクリーン館","-2739","Amazon.co.jp","健康・医療","ボディケア","","0","z70oyRVYWVWGUqGW6ZRfzhKDr_UvJ4DDEcAFBSV4uD4"
"1","2024/10/11","アクサダイレクト 自動車保険 月次","-2610","ポケットカード","保険","生命保険","","0","o31epQ9QdCPpskO_dNty5EbQT9exveK2X4Wg7RLJpV4"
"0","2024/10/11","AMAZON.CO.JP","-2739","ポケットカード","教養・教育","書籍","","1","pJxscwO3ges7m1p1kGiLT2X_Vzs-FEgJ0H8VvV7BsxE"
"1","2024/10/11","AP/AIRBNB * HMZPATMN","-26572","ポケットカード","現金・カード","ATM引き出し","","0","QeXlEAqOpHmF9pmYshJdpO7PLaFnedxKECUBTU4L610"
"1","2024/10/11","ハマペイ","-5000","横浜銀行","未分類","未分類","","0","WMryhxun2ynoJwWr7Qk6nngw6g9ddi1MXfuimeKoyzA"
"1","2024/10/09","セブン (セブンBK)","-20000","横浜銀行","現金・カード","ATM引き出し","","0","MlGOQUSgpEBAqe7UB9_kzWaT0_yIk0YlqE7ECb8DrGk"
"1","2024/10/08","アポロステーシヨン","-1618","ポケットカード","未分類","未分類","","0","WqYQtP2rc-0qiKrW0ov2Vvi0nyyvEqfCaNXiNWM0KMQ"
"1","2024/10/08","ゲートウエイスタジオドウゲンザカテン","-2310","ポケットカード","未分類","未分類","","0","U5pbHcys6oEJ6eS2E1apnxOBeTIaAVn4P0G_kY11uAo"
"1","2024/10/08","コウザフリカエ ペイペイ チヤ-ジ","-2000","横浜銀行","現金・カード","電子マネー","","0","OdlCPVlK0R9cFGy7_n-SyM9cUCzK8PVgGU8U-W1VNaE"
"1","2024/10/08","ハマペイ","-5000","横浜銀行","未分類","未分類","","0","-WUAatgAfeOmLSDMmGzgIqcTtQnUJ3Wlr42b35DIOYo"
"1","2024/10/07","東京都水道局","-1333","三井住友カード (VpassID)","水道・光熱費","水道代","","0","OWkC6QDs2VHjYc6A0H6T4EpG82blozl4qvodnwBLDPk"
"1","2024/10/07","コウザフリカエ SMBC(ACサ-ビス","-19000","横浜銀行","未分類","未分類","","0","Glv4OISXkAb8tLI4M2iC4qVbx65ILeDr72QI0iFDEAg"
"1","2024/10/06","コウザフリカエ ペイペイ チヤ-ジ","-3320","横浜銀行","現金・カード","電子マネー","","0","xqZ8YhGr0S0fgzqqmJEmvfGpge9I62wml2L1qMMsKPs"
"1","2024/10/05","APPLE COM BILL","-400","ポケットカード","通信費","その他通信費","","0","trHA-GECQjTQFGFk1UscK1ixxGJ8OK5WYUkWf1iREj8"
"1","2024/10/05","株式会社Luup","-350","ポケットカード","未分類","未分類","","0","BLK3Zsquj1yj5K26SqrsUwI7RBXAD7I15roQhF-elEM"
"1","2024/10/05","株式会社Luup","-155","ポケットカード","未分類","未分類","","0","Rb06916dENFHRzIkyABMk_6pz6y0UGG_gwOGIaY9DZ0"
"1","2024/10/05","ハマペイ","-5000","横浜銀行","未分類","未分類","","0","-F9mFL_Gvl1ictkUf8B5FRpncgiOd77Yeen1zvSwasI"
"1","2024/10/04","テスウリヨウ","-165","横浜銀行","その他","雑費","","0","JqEO5SlfPsL71reN8njmUsvX_ugqGWo7K2sCdLsBgPo"
"1","2024/10/04","インタ-ネツト タナカ コウイチロウ","-5000","横浜銀行","通信費","インターネット","","0","dxxYqiWsM0afHoEDEQzkPYgfa-oTWzPvNNH2kfGr1HQ"
"1","2024/10/02","アポロステーシヨン","-1127","ポケットカード","未分類","未分類","","0","3ZYP6kX0mFJJemLCxnUFv-GjssEh28LUlrYu6x8bkc8"
"1","2024/10/01","Audible会員プラン[Audiobook]","-1500","Amazon.co.jp","教養・教育","書籍","","0","2Vw0sSHfi9b5H_uAzRuWI3OTf1Y54uDgxwRdclp9-bw"
"1","2024/10/01","弁護士ドットコム","-330","ポケットカード","未分類","未分類","","0","Slv015l9foh7xTxKzxa0AMeDyQmVLojKShxNOJCbkGA"
"0","2024/10/01","Audible / AMZN","-1500","三井住友カード (VpassID)","教養・教育","書籍","","1","cvMPx6-hSq4uiqvGmjA42Y9yrAd2gPQ13p_Ca2-FIS4"
"1","2024/10/01","ハマペイ","-5000","横浜銀行","未分類","未分類","","0","jaNdWFu5tsPQ8t-AjkiVh0dz0-rJrETRmHGPUYqoeCE"
"0","2024/10/01","コウザフリカエ ポケツトカ-ド","-89717","横浜銀行","現金・カード","カード引き落とし","","1","WJ4IeoP045MRW_PkFgh3kZf95iyh9rSDh8-a_ltMAUM"
"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/11/30","コミュニティサイクル 利用料金","-165","ポケットカード","交通費","その他交通費","","0","lRHVBReBY-ELyqoBdSaI6wwRYJse7CglKaf4RnZcFc4"
"1","2024/11/30","ETC 東京支社 (自横浜青葉 至東京 軽・二)","-510","三井住友カード (VpassID)","自動車","道路料金","","0","qyAkwtKdLU2QGXjvpSe-ljrXEiuVEMqhMOIObmFaRg4"
"1","2024/11/30","ETC 関東支社 (自横須賀 至狩場 軽・二)","-630","三井住友カード (VpassID)","自動車","道路料金","","0","wbTKz-CEYrelbG12HRSaE1O4yy0P5WW7Qvpz8Xty-Gg"
"1","2024/11/30","ETC 関東支社 (自保土ヶ谷 至港北 軽・二)","-110","三井住友カード (VpassID)","自動車","道路料金","","0","2kk_0wZMlEXVn5TWp2bP9YSfmAgqebXzzjl4FSBYTz8"
"1","2024/11/30","ETC 関東支社 (自新保土ヶ谷 至新保土ヶ谷 軽・二)","-260","三井住友カード (VpassID)","自動車","道路料金","","0","nqBFTZCgyA78iWbszafB0yAppSLH8KU2jjDI-2MkvuU"
"1","2024/11/30","ETC首都高 (自東名道接続 至池尻 軽・二)","-330","三井住友カード (VpassID)","自動車","道路料金","","0","1PJJ-6vxLCL_j2QU0rTqHyCRhHQhUE64Xx2A3xMBhxQ"
"1","2024/11/30","ETC首都高 (自横浜港北 至首都横浜青 軽・二)","-350","三井住友カード (VpassID)","自動車","道路料金","","0","6IzmWEjX9ulpoUtKOKjPepEjg8KS1cg-O0BNR0T4UBI"
"1","2024/11/30","APPLE COM BILL","-1200","三井住友カード (VpassID)","通信費","その他通信費","","0","yPygVw9aPiTxek6HFxkp1y3wdSH49KmhpUxAVj9o4HU"
"1","2024/11/30","コウザフリカエ ペイペイ チヤ-ジ","-5000","横浜銀行","現金・カード","電子マネー","","0","Xs2mR5vcuascmBj8kViIMaD-PTimB2P3fzflCmSRLr4"
"1","2024/11/29","コトラソウキン クドウ リク","-70000","横浜銀行","未分類","未分類","","0","82eENbHu0_xbn2ZrWuo9q3SMDCRRQ8bgaQq82hnyn6Q"
"1","2024/11/29","ファミリーマート 葉山町店","-796","なし","食費","食料品","","0","ztx_458TDECI6Lr6i-YxtZfI-xs5JrM70ungJwyKKgg"
"1","2024/11/29","","-1720","なし","日用品","タバコ","","0","UObcJhozt1kOIloxTsS5Fnb1yLYTz--y_YflOvEqfTI"
